sentence,sentiment,topic,processed_ml,processed_phobert
slide giáo trình đầy đủ .,2,1,slide giáo_trình đầy_đủ .,slide giáo trình đầy đủ .
"nhiệt tình giảng dạy , gần gũi với sinh viên .",2,0,nhiệt_tình giảng_dạy gần_gũi với sinh_viên .,"nhiệt tình giảng dạy , gần gũi với sinh viên ."
đi học đầy đủ full điểm chuyên cần .,0,1,đi học đầy_đủ full_điểm chuyên cần .,đi học đầy đủ full điểm chuyên cần .
chưa áp dụng công nghệ thông tin và các thiết bị hỗ trợ cho việc giảng dạy .,0,0,chưa áp_dụng công_nghệ_thông_tin và các thiết_bị hỗ_trợ cho việc giảng_dạy .,chưa áp dụng công nghệ thông tin và các thiết bị hỗ trợ cho việc giảng dạy .
"thầy giảng bài hay , có nhiều bài tập ví dụ ngay trên lớp .",2,0,thầy giảng bài hay có nhiều bài_tập ví_dụ ngay trên lớp .,"thầy giảng bài hay , có nhiều bài tập ví dụ ngay trên lớp ."
"giảng viên đảm bảo thời gian lên lớp , tích cực trả lời câu hỏi của sinh viên , thường xuyên đặt câu hỏi cho sinh viên .",2,0,giảng_viên đảm_bảo thời_gian lên lớp tích_cực trả_lời câu hỏi của sinh_viên thường_xuyên đặt câu hỏi cho sinh_viên .,"giảng viên đảm bảo thời gian lên lớp , tích cực trả lời câu hỏi của sinh viên , thường xuyên đặt câu hỏi cho sinh viên ."
"em sẽ nợ môn này , nhưng em sẽ học lại ở các học kỳ kế tiếp .",1,3,em sẽ nợ môn này nhưng em sẽ học lại ở các học_kỳ kế_tiếp .,"em sẽ nợ môn này , nhưng em sẽ học lại ở các học kỳ kế tiếp ."
"thời lượng học quá dài , không đảm bảo tiếp thu hiệu quả .",0,1,thời_lượng học quá dài không đảm_bảo tiếp_thu hiệu_quả .,"thời lượng học quá dài , không đảm bảo tiếp thu hiệu quả ."
"nội dung môn học có phần thiếu trọng tâm , hầu như là chung chung , khái quát khiến sinh viên rất khó nắm được nội dung môn học .",0,1,nội_dung môn_học có phần thiếu trọng_tâm hầu_như là chung khái_quát khiến sinh_viên rất khó nắm được nội_dung môn_học .,"nội dung môn học có phần thiếu trọng tâm , hầu như là chung chung , khái quát khiến sinh viên rất khó nắm được nội dung môn học ."
cần nói rõ hơn bằng cách trình bày lên bảng thay vì nhìn vào slide .,0,1,cần nói rõ hơn bằng cách trình_bày lên bảng thay_vì nhìn vào slide .,cần nói rõ hơn bằng cách trình bày lên bảng thay vì nhìn vào slide .
thầy rất tận tình và đi dạy rất đúng giờ .,2,0,thầy rất tận_tình và đi dạy rất đúng giờ .,thầy rất tận tình và đi dạy rất đúng giờ .
dễ bị áp lực .,0,3,dễ bị áp_lực .,dễ bị áp lực .
"đang dạy thầy wzjwz208 đi qua nước ngoài giữa chừng , thầy wzjwz209 dạy thay .",1,0,đang dạy thầy wzjwz208 đi qua nước_ngoài giữa_chừng thầy wzjwz209 dạy thay .,"đang dạy thầy wzjwz208 đi qua nước ngoài giữa chừng , thầy wzjwz209 dạy thay ."
môn học còn dễ cần nâng độ khó lên nữa .,0,1,môn_học còn dễ cần nâng_độ khó lên nữa .,môn học còn dễ cần nâng độ khó lên nữa .
"có thể cho sinh viên đi thăm quan nhiều công ty xem quy mô và cách làm việc , để giúp hiểu rõ hơn vê ngành mình đang học .",0,1,có_thể cho sinh_viên đi thăm_quan nhiều công_ty xem quy_mô và cách làm_việc để giúp hiểu rõ hơn vê ngành mình đang học .,"có thể cho sinh viên đi thăm quan nhiều công ty xem quy mô và cách làm việc , để giúp hiểu rõ hơn vê ngành mình đang học ."
hài lòng về tất cả .,2,3,hài_lòng về tất_cả .,hài lòng về tất cả .
"nhiệt tình , vui vẻ .",2,0,nhiệt_tình vui_vẻ .,"nhiệt tình , vui vẻ ."
thấy nhiệt tình trong việc trao đổi giúp đỡ về học tập .,2,0,thấy nhiệt_tình trong việc trao_đổi giúp_đỡ về học_tập .,thấy nhiệt tình trong việc trao đổi giúp đỡ về học tập .
phong cách giảng bài của thầy rất gần gũi với sinh viên !,2,0,phong_cách giảng_bài của thầy rất gần_gũi với sinh_viên !,phong cách giảng bài của thầy rất gần gũi với sinh viên !
giảng dạy kết hợp các hoạt động giải trí có hiệu quả .,2,0,giảng_dạy kết_hợp các hoạt_động giải_trí có hiệu_quả .,giảng dạy kết hợp các hoạt động giải trí có hiệu quả .
cần tạo các buổi seminar để sinh viên có thể hiểu sâu thêm về các vấn đề trong chuyên ngành nhưng không có trong môn học .,0,1,cần tạo các buổi seminar để sinh_viên có_thể hiểu sâu thêm về các vấn_đề trong chuyên_ngành nhưng không có trong môn_học .,cần tạo các buổi seminar để sinh viên có thể hiểu sâu thêm về các vấn đề trong chuyên ngành nhưng không có trong môn học .
tiết học thoải mái .,2,0,tiết học thoải_mái .,tiết học thoải mái .
"thầy nhiệt tình , quan tâm tới sinh viên .",2,0,thầy nhiệt_tình quan_tâm tới sinh_viên .,"thầy nhiệt tình , quan tâm tới sinh viên ."
"giảng dạy nhiệt tình , hướng dẫn chi tiết đến lúc sinh viên hiểu !",2,0,giảng_dạy nhiệt_tình hướng_dẫn chi_tiết đến lúc sinh_viên hiểu !,"giảng dạy nhiệt tình , hướng dẫn chi tiết đến lúc sinh viên hiểu !"
"chưa có nhiều tiết làm bài tập , chữa bài tập trên lớp .",0,1,chưa có nhiều tiết làm bài_tập chữa bài_tập trên lớp .,"chưa có nhiều tiết làm bài tập , chữa bài tập trên lớp ."
tài liệu được bổ sung nhiều và đầy đủ trên moodle .,2,1,tài_liệu được bổ_sung nhiều và đầy_đủ trên moodle .,tài liệu được bổ sung nhiều và đầy đủ trên moodle .
giảng viên phải nên cho ví dụ cụ thể những phần quan trọng nên nói kỹ có thể lấy ví dụ minh họa tránh việc lập đi lập lại nhiều lần sẽ tạo cảm giác chán cho sinh viên .,0,0,giảng_viên phải nên cho ví_dụ cụ_thể những phần quan_trọng nên nói kỹ có_thể lấy ví_dụ minh_họa tránh việc lập đi lập lại nhiều lần sẽ tạo cảm_giác chán cho sinh_viên .,giảng viên phải nên cho ví dụ cụ thể những phần quan trọng nên nói kỹ có thể lấy ví dụ minh họa tránh việc lập đi lập lại nhiều lần sẽ tạo cảm giác chán cho sinh viên .
nên biên soạn một tài liệu của chính trường ta .,0,1,nên biên_soạn một tài_liệu của chính trường ta .,nên biên soạn một tài liệu của chính trường ta .
không giúp đỡ sinh viên trong những vấn đề xung quanh .,0,0,không giúp_đỡ sinh_viên trong những vấn_đề xung_quanh .,không giúp đỡ sinh viên trong những vấn đề xung quanh .
"bài tập đa dạng , cụ thể .",2,1,bài_tập đa_dạng cụ_thể .,"bài tập đa dạng , cụ thể ."
"nội dung giảng viên yêu câu seminar hầu như không có tài liệu tham khảo và rất ít ứng dụng trong thực tế , đề nghị có sự thay đổi trong những năm học tới .",0,1,nội_dung giảng_viên yêu câu seminar hầu_như không có tài_liệu tham_khảo và rất ít ứng_dụng trong thực_tế đề_nghị có sự thay_đổi trong những năm_học tới .,"nội dung giảng viên yêu câu seminar hầu như không có tài liệu tham khảo và rất ít ứng dụng trong thực tế , đề nghị có sự thay đổi trong những năm học tới ."
slide up đầy đủ trước mỗi buổi học .,2,1,slide up đầy_đủ trước mỗi buổi học .,slide up đầy đủ trước mỗi buổi học .
"nội dung giảng dạy quá nhàm chán , khô khan .",0,1,nội_dung giảng_dạy quá nhàm chán khô_khan .,"nội dung giảng dạy quá nhàm chán , khô khan ."
lượng kiến thức quá nhiều trong một học kỳ .,0,1,lượng kiến_thức quá nhiều trong một học_kỳ .,lượng kiến thức quá nhiều trong một học kỳ .
thầy chép bảng nhiều .,0,0,thầy chép bảng nhiều .,thầy chép bảng nhiều .
"thầy tận tình hướng dẫn cách làm , giải quyết những thắc mắc của sinh viên .",2,0,thầy tận_tình hướng_dẫn cách làm giải_quyết những thắc_mắc của sinh_viên .,"thầy tận tình hướng dẫn cách làm , giải quyết những thắc mắc của sinh viên ."
"chúc các thầy cô , anh chị làm việc vui vẻ !",2,3,chúc các thầy_cô anh_chị làm_việc vui_vẻ !,"chúc các thầy cô , anh chị làm việc vui vẻ !"
"hay , nhiệt tình , dễ hiểu .",2,0,hay nhiệt_tình dễ hiểu .,"hay , nhiệt tình , dễ hiểu ."
"mặc dù nhiệt tình nhưng khi truyền đạt thì lại khó hiểu , sử dụng ngôn từ gây khó khăn cho việc hiểu bài .",0,0,mặc_dù nhiệt_tình nhưng khi truyền_đạt thì lại khó hiểu sử_dụng_ngôn từ gây khó_khăn cho việc hiểu bài .,"mặc dù nhiệt tình nhưng khi truyền đạt thì lại khó hiểu , sử dụng ngôn từ gây khó khăn cho việc hiểu bài ."
"thầy dạy khá hay , cung cấp nhiều thông tin liên quan đến môn học , đưa ra nhiều hướng giải quyết khi sinh viên gặp vấn đề khó khăn với đồ án !",2,0,thầy dạy khá hay cung_cấp nhiều thông_tin liên_quan đến môn_học đưa ra nhiều hướng giải_quyết khi sinh_viên gặp vấn_đề khó_khăn với đồ_án !,"thầy dạy khá hay , cung cấp nhiều thông tin liên quan đến môn học , đưa ra nhiều hướng giải quyết khi sinh viên gặp vấn đề khó khăn với đồ án !"
hy vọng học kỳ sau có thể học được với cô .,2,0,hy_vọng học_kỳ sau có_thể học được với cô .,hy vọng học kỳ sau có thể học được với cô .
nhiều khi em lên lớp học môn đặc tả hình thức giống như lên lớp học mà không biết mình học cái gì .,0,1,nhiều khi em lên lớp_học môn đặc_tả hình_thức giống như lên lớp_học mà không biết mình học cái gì .,nhiều khi em lên lớp học môn đặc tả hình thức giống như lên lớp học mà không biết mình học cái gì .
trong khi giảng nói nhỏ quá .,0,0,trong khi giảng nói_nhỏ quá .,trong khi giảng nói nhỏ quá .
thực hành khó hiểu .,0,1,thực_hành khó hiểu .,thực hành khó hiểu .
"thầy rất tận tâm nhiệt tình , quan tâm đến sinh viên , giảng bài dễ hiểu , kiến thức sâu rộng am hiểu cao .",2,0,thầy rất tận_tâm nhiệt_tình quan_tâm đến sinh_viên giảng_bài dễ hiểu kiến_thức sâu_rộng am_hiểu cao .,"thầy rất tận tâm nhiệt tình , quan tâm đến sinh viên , giảng bài dễ hiểu , kiến thức sâu rộng am hiểu cao ."
"cô dạy với nhiệt huyết của mình , dù như thế nào , cô vẫn luôn mỉm cười và kiên trì giảng bài cho chúng em đến khi chúng em hiểu .",2,0,cô dạy với nhiệt_huyết của mình dù như_thế_nào cô vẫn luôn mỉm cười và kiên_trì giảng bài cho chúng_em đến khi chúng_em hiểu .,"cô dạy với nhiệt huyết của mình , dù như thế nào , cô vẫn luôn mỉm cười và kiên trì giảng bài cho chúng em đến khi chúng em hiểu ."
"cô lên lớp đúng giờ , giảng bài rất dễ hiểu cho sinh viên .",2,0,cô lên_lớp đúng giờ giảng_bài rất dễ hiểu cho sinh_viên .,"cô lên lớp đúng giờ , giảng bài rất dễ hiểu cho sinh viên ."
"những thông tin cần thiết như doubledot thời gian dealine , cách nộp bài thường không dặn lớp thực hành thứ hai .",0,0,những thông_tin cần_thiết như doubledot thời_gian dealine cách nộp bài thường không dặn lớp thực_hành thứ hai .,"những thông tin cần thiết như doubledot thời gian dealine , cách nộp bài thường không dặn lớp thực hành thứ hai ."
"thầy nhiệt tình , dễ chịu .",2,0,thầy nhiệt_tình dễ_chịu .,"thầy nhiệt tình , dễ chịu ."
"giảng viên chưa đi sâu vào bản chất của vấn đề , em chỉ học thôi mà không biết bản chất của nó là gì nó có ứng dụng gì sau này cho chuyên nghành của em .",0,0,giảng_viên chưa đi_sâu vào bản_chất của vấn_đề em chỉ học thôi mà không biết bản_chất của nó là gì nó có ứng_dụng gì sau_này cho chuyên_ngành của em .,"giảng viên chưa đi sâu vào bản chất của vấn đề , em chỉ học thôi mà không biết bản chất của nó là gì nó có ứng dụng gì sau này cho chuyên nghành của em ."
đặc biệt hơn là thầy đã bỏ rất nhiều công sức trong việc ra bài tập và chấm điểm một cách rõ ràng và minh bạch .,2,0,đặc_biệt hơn là thầy đã bỏ rất nhiều công_sức trong việc ra bài_tập và chấm_điểm một_cách rõ_ràng và minh_bạch .,đặc biệt hơn là thầy đã bỏ rất nhiều công sức trong việc ra bài tập và chấm điểm một cách rõ ràng và minh bạch .
cô rất nhiệt tình và tận dụng tốt thời gian .,2,1,cô rất nhiệt_tình và tận_dụng tốt thời_gian .,cô rất nhiệt tình và tận dụng tốt thời gian .
"giảng viên tận tâm , nhiệt huyết trong giảng dạy .",2,0,giảng_viên tận_tâm nhiệt_huyết trong giảng_dạy .,"giảng viên tận tâm , nhiệt huyết trong giảng dạy ."
"thầy nhiệt tình , gần gũi .",2,0,thầy nhiệt_tình gần_gũi .,"thầy nhiệt tình , gần gũi ."
"giảng viên tận tâm , giảng dễ hiểu , dễ tiếp thu .",2,0,giảng_viên tận tâm_giảng dễ hiểu dễ tiếp_thu .,"giảng viên tận tâm , giảng dễ hiểu , dễ tiếp thu ."
tạo ra sự cạnh tranh trong mỗi buổi thực hành .,1,0,tạo ra sự cạnh_tranh trong mỗi buổi thực_hành .,tạo ra sự cạnh tranh trong mỗi buổi thực hành .
bài tập và có code tham khảo .,2,1,bài_tập và có code tham_khảo .,bài tập và có code tham khảo .
"cần nâng cấp hệ thống wifi , vì khi vào phòng thực hành , sinh viên không thể truy cập internet , buộc phải xin phép ra ngoài để làm bài .",0,2,cần nâng_cấp hệ_thống wifi vì khi vào phòng thực_hành sinh_viên không_thể truy_cập internet buộc phải xin phép ra ngoài để làm bài .,"cần nâng cấp hệ thống wifi , vì khi vào phòng thực hành , sinh viên không thể truy cập internet , buộc phải xin phép ra ngoài để làm bài ."
tài liệu không chi tiết lắm .,0,1,tài_liệu không chi_tiết lắm .,tài liệu không chi tiết lắm .
"tận tâm , nhiệt tình , vui tính , dễ gần với sinh viên .",2,0,tận tâm_nhiệt_tình vui_tính dễ gần với sinh_viên .,"tận tâm , nhiệt tình , vui tính , dễ gần với sinh viên ."
thầy dạy rất hay và nhiệt tình .,2,0,thầy dạy rất hay và nhiệt_tình .,thầy dạy rất hay và nhiệt tình .
"thầy dạy không đúng giờ , không hướng dẫn sinh viên thực hành .",0,0,thầy dạy không đúng giờ không hướng_dẫn sinh_viên thực_hành .,"thầy dạy không đúng giờ , không hướng dẫn sinh viên thực hành ."
giúp đỡ học sinh quá ít .,0,0,giúp_đỡ học_sinh quá ít .,giúp đỡ học sinh quá ít .
cô dạy buồn ngủ quá .,0,0,cô dạy buồn ngủ quá .,cô dạy buồn ngủ quá .
